Disease,1yr_enroll_cent,1yr_enroll_rep,1yr_enroll_delta,1yr_median_cent,1yr_median_rep,1yr_median_delta
ASCVD,0.881,0.9285758072152052,0.04757580721520516,0.879,0.9367615270609829,0.05776152706098292
All_Cancers,0.753,0.7936618167054281,0.04066181670542812,0.757,0.7765139055479355,0.01951390554793553
Anemia,0.648,0.8273413779214398,0.17934137792143978,0.69,0.8585682073726564,0.16856820737265643
Anxiety,0.604,0.7784344520161862,0.17443445201618624,0.639,0.8911745683180652,0.2521745683180652
Asthma,0.69,0.8919243112155151,0.20192431121551513,0.702,0.8928644642986501,0.19086446429865012
Atrial_Fib,0.797,0.895305550233242,0.09830555023324195,0.801,0.9178855250207147,0.1168855250207147
Bipolar_Disorder,0.758,0.8405394350276826,0.08253943502768257,0.758,0.8695059625212946,0.11150596252129463
Bladder_Cancer,0.825,0.7724383270730593,-0.052561672926940695,0.891,0.8035873530264541,-0.0874126469735459
Breast_Cancer,0.782,0.8265861181459039,0.04458611814590385,0.867,0.8962965122685476,0.02929651226854757
CKD,0.651,0.755411545354483,0.10441154535448294,0.76,0.8607511340611165,0.10075113406111647
COPD,0.736,0.8558347910519049,0.11983479105190487,0.738,0.8709647600473212,0.13296476004732116
Colorectal_Cancer,0.825,0.8990261978027477,0.07402619780274777,0.848,0.9212386900890444,0.07323869008904438
Crohns_Disease,0.896,0.9483517741259216,0.052351774125921624,0.93,0.9412532637075718,0.011253263707571737
Depression,0.616,0.8327783032570926,0.21677830325709257,0.647,0.881913865741117,0.23491386574111695
Diabetes,0.741,0.8568175672143992,0.11581756721439918,0.787,0.849222161964142,0.062222161964141987
Heart_Failure,0.769,0.8853260330006529,0.11632603300065292,0.811,0.9083060467701987,0.0973060467701986
Lung_Cancer,0.699,0.7656061582012158,0.06660615820121585,0.784,0.8499947880467718,0.06599478804677172
Multiple_Sclerosis,0.84,0.7668063973088082,-0.0731936026911918,0.902,0.7843442458324965,-0.11765575416750351
Osteoporosis,0.756,0.8664400182096192,0.11044001820961924,0.767,0.8460173654764401,0.07901736547644012
Parkinsons,0.809,0.886781030887428,0.07778103088742794,0.796,0.8967618560428231,0.10076185604282306
Pneumonia,0.634,0.761361518988257,0.12736151898825698,0.75,0.8892704527197202,0.13927045271972016
Prostate_Cancer,0.831,0.7197404712030471,-0.11125952879695289,0.828,0.6636038133246922,-0.16439618667530775
Psoriasis,0.607,0.8104174305929768,0.2034174305929768,0.64,0.7829535958503115,0.14295359585031153
Rheumatoid_Arthritis,0.749,0.880928816904518,0.13192881690451796,0.801,0.9430604056698728,0.14206040566987277
Secondary_Cancer,0.6,0.7307120523985824,0.1307120523985824,0.683,0.7919204124213859,0.10892041242138584
Stroke,0.653,0.732184113789628,0.07918411378962797,0.674,0.7434671141279202,0.06946711412792017
Thyroid_Disorders,0.678,0.8287828267215152,0.1507828267215151,0.668,0.8609377693111252,0.19293776931112516
Ulcerative_Colitis,0.816,0.9170224510496464,0.10102245104964647,0.809,0.9353485106290538,0.12634851062905372
