Disease,S6_centered,S6_reparam,S6_delta,S8_centered,S8_reparam,S8_delta
ASCVD,0.733,0.7573408311150589,0.024340831115058914,0.836,0.8934001571506773,0.05740015715067737
All_Cancers,0.674,0.7163523099187346,0.04235230991873451,0.735,0.7657258841036414,0.03072588410364141
Anemia,0.588,0.6260760594726659,0.0380760594726659,0.658,0.7849106753575275,0.12691067535752742
Anxiety,0.514,0.5348743859550216,0.020874385955021557,0.573,0.7774404981640264,0.20444049816402643
Asthma,0.529,0.5463507159311973,0.017350715931197302,0.612,0.767272944671408,0.15527294467140806
Atrial_Fib,0.707,0.7563398806885534,0.04933988068855344,0.781,0.8728295652290912,0.09182956522909114
Bipolar_Disorder,0.492,0.534637981877067,0.04263798187706702,0.624,0.6973869346733669,0.07338693467336688
Bladder_Cancer,0.708,0.7415148443532167,0.03351484435321672,0.85,0.7897118351722677,-0.06028816482773225
Breast_Cancer,0.554,0.5897833144012228,0.03578331440122273,0.767,0.7762064530056759,0.009206453005675908
CKD,0.708,0.7377498732969416,0.029749873296941676,0.737,0.8064845687371094,0.0694845687371094
COPD,0.658,0.696961626322057,0.03896162632205702,0.715,0.8155113502453523,0.1005113502453523
Colorectal_Cancer,0.648,0.6554377886003935,0.007437788600393458,0.791,0.8500820520224259,0.05908205202242589
Crohns_Disease,0.58,0.5983401022524533,0.018340102252453305,0.737,0.8361383824216924,0.09913838242169237
Depression,0.484,0.5378620121740301,0.05386201217403008,0.546,0.7648679920058904,0.21886799200589035
Diabetes,0.651,0.7306964855381051,0.07969648553810504,0.725,0.7904928679881128,0.06549286798811282
Heart_Failure,0.701,0.7584377198119975,0.05743771981199752,0.779,0.8574539025635278,0.0784539025635278
Lung_Cancer,0.669,0.6796045359534028,0.010604535953402716,0.741,0.78913112164297,0.048131121642969954
Multiple_Sclerosis,0.591,0.4715811833700745,-0.11941881662992548,0.69,0.5183054543367859,-0.17169454566321407
Osteoporosis,0.681,0.6638612613989818,-0.017138738601018222,0.707,0.7863996122799272,0.0793996122799272
Parkinsons,0.724,0.7355870385123287,0.011587038512328673,0.787,0.8266090801448839,0.039609080144883846
Pneumonia,0.644,0.6788612602961379,0.0348612602961379,0.74,0.8384526410884017,0.09845264108840168
Prostate_Cancer,0.687,0.7002697157982638,0.013269715798263748,0.786,0.6696836920354143,-0.1163163079645857
Psoriasis,0.546,0.5966049154360507,0.05060491543605061,0.508,0.6500176038627905,0.1420176038627905
Rheumatoid_Arthritis,0.608,0.6344593021115119,0.02645930211151193,0.707,0.8320295459052152,0.1250295459052152
Secondary_Cancer,0.61,0.6222107941656819,0.012210794165681937,0.664,0.7451114529119643,0.08111145291196431
Stroke,0.681,0.7043680916757206,0.023368091675720515,0.663,0.7016693642562701,0.0386693642562701
Thyroid_Disorders,0.594,0.5593809659806647,-0.034619034019335304,0.637,0.7461302441213895,0.1091302441213895
Ulcerative_Colitis,0.583,0.6199143202039608,0.03691432020396079,0.793,0.8263433363645549,0.03334333636455489
